"Resultado de la clasificación no supervisada realizada en la superficie de trigo, en el ciclo de siembra otoño-invierno 1995-1996. Río Mayo, Sonora, México.",,,,
CLUSTER,CANTIDAD DE PIXELES,VALOR ESPECTRAL MEDIO,,
,,TM2,TM3,TM4
1,254745,23.11,28.59,33.75
2,329174,21.59,23.58,43.6
3,280238,27.35,34.58,48.53
4,561113,20.93,21.18,53.75
5,748527,19.23,17.52,62.21
6,831918,17.98,14.92,70.4
7,691350,17.81,14.15,78.53
8,466315,17.66,13.52,86.26
9,218683,17.97,13.56,93.9
10,69071,18.55,13.88,102.39
11,206,45.85,66.67,76.29
12,0,42,58,123
"TM2= reflectancia en el verde, 500-590 nm, TM3= reflectancia en el rojo, 610-680 nm y TM4= reflectancia en el infrarrojo cercano, 790-890 nm.",,,,
,,,,
Sensor Remoto utilizado Landsat TM y electromagnético EM-38,,,,
"z = 1.96, 1.64 y 1.28 para niveles de confianza de 95%, 90% y 80%, respectivamente",,,,
